Serial,Event,Code Province/State,Province/State,Municipality,Date,Month,Day,Year,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Affected,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Agriculture,Year
4051,FLOOD,IDN72,SULAWESI TENGAH,BANGGAI,29-Jul-07,7,29,2007,,,,,,,294,,,,,,,2007
4175,FIRE,IDN16,SUMATERA SELATAN,OGAN ILIR,1-Aug-07,8,1,2007,,,,10,,53,,,100,,,,,2007
4157,FIRE,IDN16,SUMATERA SELATAN,LAHAT,18-Aug-07,8,18,2007,,,,6,,40,,,120,,,,,2007
4106,FLOOD,IDN13,SUMATERA BARAT,PADANG PARIAMAN,30-Aug-07,8,30,2007,1,1,,4,70,,,,2000,,,,,2007
4186,FIRE,IDN16,SUMATERA SELATAN,KOTA PALEMBANG,3-Sep-07,9,3,2007,2,,,7,,29,,,,,,,,2007
4037,FLOOD,IDN73,SULAWESI SELATAN,LUWU UTARA,5-Sep-07,9,5,2007,,,,,,,,,,,,,,2007
4147,FLOOD,IDN16,SUMATERA SELATAN,MUARA ENIM,17-Sep-07,9,17,2007,2,1065,,17,,4592,,,,,,,,2007
4164,FLOOD,IDN16,SUMATERA SELATAN,MUSI BANYUASIN,17-Sep-07,9,17,2007,,,,,,7277,,,,,,,,2007
4187,FIRE,IDN16,SUMATERA SELATAN,KOTA PALEMBANG,23-Sep-07,9,23,2007,,,,10,,44,,,,,,,,2007
4176,FIRE,IDN16,SUMATERA SELATAN,OGAN ILIR,24-Sep-07,9,24,2007,,,,3,,20,,,,,,,,2007
4163,FIRE,IDN16,SUMATERA SELATAN,MUSI RAWAS,1-Oct-07,10,1,2007,,,,11,,48,,,,,,,,2007
4191,FIRE,IDN16,SUMATERA SELATAN,KOTA PRABUMULIH,4-Oct-07,10,4,2007,,,,12,,52,,,375,,,,,2007
4188,FIRE,IDN16,SUMATERA SELATAN,KOTA PALEMBANG,10-Oct-07,10,10,2007,,,,3,,108,,,,,,,,2007
4229,FLOOD,IDN12,SUMATERA UTARA,KOTA SIBOLGA,19-Oct-07,10,19,2007,,1,,,,,,,,,,,,2007
4144,FIRE,IDN16,SUMATERA SELATAN,OGAN KOMERING ILIR,22-Oct-07,10,22,2007,,,,,,,,,1500,,,,,2007
3987,FLOOD,IDN76,SULAWESI BARAT,MAJENE,5-Nov-07,11,5,2007,1,,,,,,,,,,,,,2007
3544,FLOOD,IDN33,JAWA TENGAH,CILACAP,5-Nov-07,11,5,2007,,,,,,,,,,,,,,2007
3545,FLOOD,IDN33,JAWA TENGAH,CILACAP,6-Nov-07,11,6,2007,,,,3,,,,,,,,,,2007
3426,FIRE,IDN32,JAWA BARAT,CIANJUR,6-Nov-07,11,6,2007,,,,20,7,81,,,905.245,,,,,2007
3546,FLOOD,IDN33,JAWA TENGAH,CILACAP,7-Nov-07,11,7,2007,,,,,,,,,,,,,,2007
3570,FLOOD,IDN33,JAWA TENGAH,KEBUMEN,8-Nov-07,11,8,2007,,,,21,,,,,164.8,,,,,2007
4160,FIRE,IDN16,SUMATERA SELATAN,LAHAT,8-Nov-07,11,8,2007,,,,1,,6,,,40,,,,,2007
3467,FLOOD,IDN32,JAWA BARAT,TASIKMALAYA,10-Nov-07,11,10,2007,,,,8,1,1955,,,,2,,,,2007
3344,FLOOD,IDN31,DKI JAKARTA,KOTA JAKARTA TIMUR,11-Nov-07,11,11,2007,,,,,,,1180,,,,,,,2007
3391,FLOOD,IDN32,JAWA BARAT,BOGOR,12-Nov-07,11,12,2007,,,,,,105,,,,,,,,2007
3394,FIRE,IDN32,JAWA BARAT,BOGOR,22-Nov-07,11,22,2007,,,,20,3,86,,,,,,,,2007
4161,FIRE,IDN16,SUMATERA SELATAN,LAHAT,27-Nov-07,11,27,2007,,,,1,,4,,,20,,,,,2007
3508,FLOOD,IDN32,JAWA BARAT,INDRAMAYU,4-Dec-07,12,4,2007,,,,20,,,29920,,,,,,,2007
